Designator,Comment,Description,Manufacturer,PartNumber,Quantity,Unit Price,WebLink
R21,20K,1% 0402 SMD 0.063W,Yageo,RC0402FR-0720KL,1,0.11,https://www.terraelectronica.ru/product/506449
R22,20K,1% 0402 SMD 0.063W,Yageo,RC0402FR-0720KL,1,0.11,https://www.terraelectronica.ru/product/506449
R23,20K,1% 0402 SMD 0.063W,Yageo,RC0402FR-0720KL,1,0.11,https://www.terraelectronica.ru/product/506449
R24,43K,1% 0402 SMD 0.063W,Yageo,RC0402FR-0743KL,1,0.11,https://www.terraelectronica.ru/product/870768
R25,3,1% 0402 SMD 0.063W,,,1,,
R26,750K,1% 0402 SMD 0.063W,Yageo,RC0402FR-07750KL,1,0.1,https://www.terraelectronica.ru/product/870851
R27,750K,1% 0402 SMD 0.063W,Yageo,RC0402FR-07750KL,1,0.1,https://www.terraelectronica.ru/product/870851
R28,470,1% 0402 SMD 0.063W,Yageo,RC0402FR-07470RL,1,0.1,https://www.terraelectronica.ru/product/870778
R29,750K,1% 0402 SMD 0.063W,Yageo,RC0402FR-07750KL,1,0.1,https://www.terraelectronica.ru/product/870851
R30,1,1% 0402 SMD 0.063W,Yageo,RC0402FR-071RL,1,0.1,https://www.terraelectronica.ru/product/870639
R31,10K,1% 0402 SMD 0.063W,Yageo,RC0402FR-0710KL,1,0.1,tps://www.terraelectronica.ru/product/358779
R32,2.2K,1% 0402 SMD 0.063W,Yageo,RC0402FR-072K2L,1,0.11,https://www.terraelectronica.ru/product/560314
R33,10K,1% 0402 SMD 0.063W,Yageo,RC0402FR-0710KL,1,0.1,tps://www.terraelectronica.ru/product/358779
R34,10K,1% 0402 SMD 0.063W,Yageo,RC0402FR-0710KL,1,0.1,tps://www.terraelectronica.ru/product/358779
R35,470,1% 0402 SMD 0.063W,Yageo,RC0402FR-07470RL,1,0.1,https://www.terraelectronica.ru/product/870778
R36,220,1% 0402 SMD 0.063W,Yageo,RC0402FR-07220RL,1,0.1,https://www.terraelectronica.ru/product/870650
R37,100,1% 0402 SMD 0.063W,Yageo,RC0402FR-07100RL,1,0.11,https://www.terraelectronica.ru/product/361823
SA1,MSK-12D19,Slide switch 3 pin,Shenzhen Intech Electronic,MSK-12D19,1,20,http://www.intechswitch.com/products/SideKnobToggleslideswitchseries/641.html
VT1,IRLML5103,p-mosfet   -30V 0.76A Vgs=-1V,International Rectifier,IRLML5103TRPBF,1,9,https://www.chipdip.ru/product/irlml5103tr
X1,Microfit3.0 16 pins R thru hole,"Step 3mm, dual row 16 pins, thru hole",Molex,43045-1601 molex,1,450,https://www.chipdip.ru/product/43045-1601
X2,DS-1026-06 2X4,Step 2mm 2x4 height 4.3mm,Ningbo connfly electronic,DS1026-06-2*4S8BV,1,11,https://www.chipdip.ru/product/pbd2-8
XS1,Keystone AA Battery Clip,Button Contact,Keystone,92,2,,https://www.keyelco.com/category.cfm/Cylindrical-Cell-Clips-THM-and-SMT/AA-CR2-Battery-Clips-and-Contacts/id/945
XS2,Keystone AA Battery Clip,Button Contact,Keystone,92,2,,https://www.keyelco.com/category.cfm/Cylindrical-Cell-Clips-THM-and-SMT/AA-CR2-Battery-Clips-and-Contacts/id/945
ZQ1,16.000M,Load 12pF 20ppm,China,16.000MHzHC-49SM,1,15,https://www.chipdip.ru/product/16mhz-hc-49sm?from=suggest_product
ZQ2,32.768K,Load 12.5pF 20ppm,China,32768Hz(2x6mm),1,12,https://www.chipdip.ru/product/32768hz-2x6mm
